Id,Iban,Currency,Balance,CustomerId
1,KW51OOWLC6GNFGYVIFYA2EYQFRIRDI,USD,982.716,20
2,SE8107757929296804573617,EUR,115.237,10
3,IL594377648626632336159,EUR,172.493,17
4,BE98655127938368,JPY,515.929,17
5,DO66RHXT07326224037774994951,GEL,595.359,4
6,AT668251706578569744,CAD,415.307,16
7,FR236941468832FFTOQTG5JEF82,EUR,933.992,1
8,GI32DBOWWFHWRR3UJ5V3XFF,EUR,126.671,10
9,GB40MLLH34220308873001,EUR,296.283,9
10,SI58002770087333534,CAD,304.103,14
11,FR291381474789SV7RTRASME 051,EUR,522.042,10
12,BR3693593997808320356379166Y S,EUR,382.74,3
13,RS41751357095611186929,GEL,628.35,2
14,CY3827555794UDSSVMF7KEAIHHWZ,GEL,115.121,18
15,KW95TNMTBOHEELTN5P2V4LS0LURKMI,GEL,914.415,4
16,BA278778648442001196,GEL,392.686,9
17,FR954779311107BMXVN5CJWIV47,GEL,946.727,6
18,MR2807145997622170819812355,EUR,935.108,9
19,SI18015975064229285,GEL,74.678,12
20,IL831309899306079585697,GEL,820.474,8
