id,Name,IdentityNumber,PhoneNumber,Email,Type
1,Berne Gianilli,10204085123,3722412898,bgianilli0@free.fr,0
2,Lawry Trenbey,55148756211,8688036653,ltrenbey1@discuz.net,0
3,Caterina Schulze CO,223459874,9601480282,cschulze2@ucla.edu,1
4,TBC Bank,817469251,7653857389,mainBranch@tbc.com,1
5,Adjarabet,225789617,6969457810,mainBranch@adjara.com,1
6,Nikola Signori,31257894521,8586212278,nsignori5@blogspot.com,0
7,Angelita Rothermel,87452361574,6789996736,arothermel6@kickstarter.com,0
8,Aloisia Gumm,12378469823,1209113131,agumm7@jimdo.com,0
9,Payton Ragsdale,12578469823,7871066437,pragsdale8@studiopress.com,0
10,Costanza Richens,47895369821,1427710267,crichens9@diigo.com,0
11,Rowen Danslow,125784596,7148078268,rdanslowa@java.com,1
12,Goober Mantram,236874147,9475115702,gmantramb@reuters.com,1
13,Raul Claricoates,32154145893,9318643262,rclaricoatesc@eepurl.com,0
14,Farlie Aymerich,32154145273,7365636669,faymerichd@china.com.cn,0
15,Maegan Elegood,11879625951,5597922519,melegoode@slate.com,0
16,Maximilian Ipsgrave,25712365411,5558938629,mipsgravef@bbb.org,0
17,Leeanne Le Noury,11698732105,7867573013,lleg@gov.uk,0
18,Lem Pellman,12698732105,6115742632,lpellmanh@samsung.com,0
19,Willi Hoodlass,13691732105,3455373400,whoodlassi@csmonitor.com,0
20,Vaclav Sisse,11614982105,8507996098,vsissej@hexun.com,0,
21,Nika,123456789456,555887744,nika@gmail.com,Phyiscial,
22,Nika,123456789456,555887744,nika@gmail.com,Phyiscial
